property_id,title,district,city,property_type,price_eur,size_sqm,bedrooms,bathrooms,floor,total_floors,year_built,condition,furnished,terrace,elevator,parking,heating,nearby_transport,description,inspection_notes,legal_notes,features
P001,Two-Bedroom Apartment in Lozenets Near Metro,Lozenets,Sofia,apartment,118000,78,2,1,4,6,2008,very good,partly furnished,True,True,False,central heating,"James Bourchier metro station, about 5 minutes on foot","This bright two-bedroom apartment is located on a quiet street in Lozenets, one of the most desirable districts in Sofia. The property offers a practical layout with an entrance hall, a living room connected to a dining area, a separate kitchen, two bedrooms, and a terrace facing a calm inner street. The apartment is within easy walking distance of James Bourchier metro station and has quick access to South Park, grocery stores, pharmacies, schools, and cafes. The building is well maintained and suitable for both owner occupancy and long-term rental.","The apartment is in very good condition. Kitchen cabinets and appliances are functional and modern. The flooring in the living area is laminate, and the bedrooms are in good cosmetic condition. The terrace door was replaced recently. Minor repainting may be needed in one bedroom.",Ownership documents reviewed. Act 16 is available. No active encumbrances or outstanding ownership disputes reported.,"terrace, equipped kitchen, secure entrance, near metro, quiet street"
P002,One-Bedroom Apartment in Mladost 1 Close to Metro,Mladost 1,Sofia,apartment,99000,65,1,1,5,8,1986,good,furnished,True,True,False,district heating,"Mladost 1 metro station, bus lines, and easy access to Tsarigradsko Shose","Comfortable one-bedroom apartment in Mladost 1 with a functional layout and strong public transport access. The property includes a living room, separate kitchen, one bedroom, bathroom, and balcony. The area is popular among young professionals due to the metro access, nearby office buildings, supermarkets, schools, and green spaces. The building is panel construction but well maintained, with renovated common areas.",The apartment is generally well kept. Kitchen appliances are included in the sale. The bathroom is usable but would benefit from minor renovation. Interior doors show normal wear.,Seller states that title is clean. Basic ownership documents are available and no known legal issues were disclosed.,"balcony, furnished, elevator, metro access, practical layout"
P003,Modern Studio in Studentski Grad for Investment,Studentski Grad,Sofia,studio,87000,54,0,1,3,6,2015,very good,fully furnished,True,True,False,air conditioning,Bus routes to city center and university areas,"Modern studio apartment in Studentski Grad, positioned close to universities, restaurants, fitness centers, and nightlife. The property is designed for efficient use of space and includes a kitchenette, open sleeping area, bathroom, and balcony. It is especially attractive as a rental investment because the area has constant demand from students and young tenants.",The apartment is freshly painted and the furniture is in good condition. The kitchenette is compact but functional. No major repair needs were noted during inspection.,Act 16 available. Ownership history appears straightforward based on the provided documentation.,"balcony, fully furnished, investment potential, near universities, modern building"
P004,Spacious Apartment in Vitosha District with Mountain View,Vitosha,Sofia,apartment,145000,96,2,2,4,5,2018,excellent,partly furnished,True,True,True,gas heating,Bus connections to Paradise Center and central Sofia,"Large two-bedroom apartment in Vitosha district with open views toward the mountain. The property is situated in a newer building and includes a spacious living room with open kitchen, two bedrooms, two bathrooms, and a comfortable terrace. The area is calmer than the city center and is preferred by buyers looking for a residential environment with new construction and convenient road access.","The apartment is in excellent condition with modern finishes, good insulation, and a well-maintained heating system. The kitchen is installed and fully usable. Underground parking is available.",Property registration is complete and the seller reports no legal encumbrances.,"mountain view, terrace, parking, new building, gas heating"
P005,Central Sofia Apartment Near Serdika Metro,Center,Sofia,apartment,165000,92,2,1,2,4,1962,needs cosmetic renovation,unfurnished,False,False,False,central heating,"Serdika metro station, tram and bus lines, central pedestrian access","Apartment in the historic central area of Sofia, within walking distance of Serdika metro station and major city landmarks. The property is in a classic brick building with high ceilings, thick walls, and spacious rooms. It offers a large living space, two generous bedrooms, and strong long-term value due to its central location near institutions, shops, and cultural venues.","The apartment is structurally sound but would benefit from repainting, floor refinishing, and modernization of the kitchen and bathroom.",Ownership has been verified based on the documents provided by the seller. No known disputes reported.,"central location, high ceilings, brick building, investment potential, walkable area"
P006,Quiet One-Bedroom Apartment in Reduta,Reduta,Sofia,apartment,103000,70,1,1,3,5,1998,good,partly furnished,True,False,False,air conditioning,"Bus and tram access, close to Geo Milev and central zones","Quiet apartment in Reduta, located near Geo Milev park and in a convenient position for public transport. The property has a living room with balcony, a separate bedroom, a compact kitchen, and a bathroom. The neighborhood is valued for its calmer streets and practical access to the wider city.","The kitchen is older but functional. Flooring and walls are in decent condition. The apartment is ready for use, though some buyers may prefer cosmetic updates.",Documentation appears complete and no encumbrances were reported by the seller.,"balcony, quiet area, near park, good transport, separate kitchen"
P007,Family Apartment in Geo Milev Near Park and Schools,Geo Milev,Sofia,apartment,127000,83,2,1,4,7,2003,very good,partly furnished,True,True,False,central heating,Regular bus routes and convenient access to city center,"Well-sized family apartment in Geo Milev, close to green areas, schools, and everyday amenities. The home includes a bright living room, two bedrooms, a terrace, and a practical kitchen arrangement. It suits households looking for a residential area with convenient transport and established neighborhood infrastructure.",Property is in good overall condition with wooden flooring and maintained common areas in the building. Kitchen and bathroom are usable without immediate renovation.,Act 16 has been issued. No known title problems have been presented.,"family friendly, terrace, elevator, near park, schools nearby"
P008,Affordable Apartment in Lyulin Near Metro,Lyulin,Sofia,apartment,72000,60,1,1,6,8,1984,fair,unfurnished,False,True,False,district heating,Lyulin metro station and multiple bus routes,"Affordable one-bedroom apartment in Lyulin with practical access to metro and city services. The layout includes a living room, separate kitchen, bedroom, and bathroom. The area offers schools, shops, and everyday amenities, making it suitable for first-time buyers or buyers with a tighter budget.",The bathroom would benefit from renovation. The kitchen also needs modernization. The general structure is sound and the layout is easy to improve.,The property is reported to be free of encumbrances based on the documents presented.,"affordable, elevator, metro access, first-time buyer option, separate rooms"
P009,Newer Two-Bedroom Apartment in Manastirski Livadi,Manastirski Livadi,Sofia,apartment,138000,88,2,1,5,6,2019,excellent,fully furnished,True,True,True,gas heating,Bus access and road connection to Bulgaria Boulevard and Bulgaria Mall,"Modern apartment in Manastirski Livadi located in a newer residential building near Bulgaria Mall. The home offers a bright living room, open kitchen, two bedrooms, and a large terrace. The area is increasingly popular among buyers looking for newer construction, modern layouts, and easy access to shopping and the ring road.",The apartment is in very good condition and is being sold with furniture and fitted kitchen appliances. Finishes are modern and well maintained.,Ownership has been verified and no legal irregularities have been indicated.,"large terrace, parking, new construction, fully furnished, near mall"
P010,One-Bedroom Apartment Near Druzhba Metro and Lake,Druzhba,Sofia,apartment,91000,67,1,1,2,6,1992,good,partly furnished,True,True,False,district heating,Druzhba metro station and local bus routes,"Apartment in Druzhba with easy access to metro and the green areas around Druzhba Lake. The property is suitable for small households or couples and offers a balanced mix of affordability, transport convenience, and neighborhood amenities.","Kitchen appliances are included. The apartment is ready to use, though some finishes are older. Common areas are maintained.",Seller reports no legal issues and basic ownership documents are available.,"near lake, metro access, balcony, good layout, elevator"
